region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
sydney,2012Q4,128.8,12320.0,5.0504939,3569.6216132,63.3138417333333,1.55964946809093,3.125,1096.49,765.0,2012-12-31,2.30341540905481,2.1411578112609186,22.96636390857372,40.76782449725778,0.0,-1.1627906976744207,0.0,-0.16843600342334453
sydney,2013Q1,128.8,8858.0,5.25855,3598.04515433333,63.7137387666667,2.34051495054077,,1097.32,794.0,2013-03-31,0.0,4.038772213247177,-28.100649350649356,20.895318684318266,3.790849673202623,3.790849673202623,0.07569608477959733,0.07569608477959733
sydney,2013Q2,132.3,11626.0,5.5279045,3605.8744437,63.805744,2.31173258417483,2.75,1097.32,794.0,2013-06-30,2.717391304347827,5.418326693227105,31.248588846240686,26.893691333769908,0.0,3.790849673202623,0.0,0.07569608477959733
sydney,2013Q3,137.1,13788.0,5.74740083333333,3588.9822284,63.4380309,1.27214019642148,2.5,1097.32,794.0,2013-09-30,3.628117913832196,8.895949166004758,18.596249784964726,37.61852480287453,0.0,3.790849673202623,0.0,0.07569608477959733
sydney,2013Q4,143.5,14903.0,5.8355041,3580.0204563,63.1140377,0.291314997128711,,1097.32,794.0,2013-12-31,4.66812545587163,11.413043478260864,8.086742094574983,20.965909090909097,0.0,3.790849673202623,0.0,0.07569608477959733
sydney,2014Q1,146.8,13153.0,5.61502916666667,3601.36222356667,63.0918045666667,0.0921908728504616,,1099.2,858.0,2014-03-31,2.2996515679442497,13.975155279503104,-11.742602160638793,48.4872431700158,8.060453400503786,8.060453400503786,0.17132650457478693,0.17132650457478693
sydney,2014Q2,151.4,12251.0,5.57273666666667,3615.4755277666704,63.0807417,0.266262295500641,,1099.2,858.0,2014-06-30,3.133514986376018,14.436885865457283,-6.85775108340303,5.375881644589708,0.0,8.060453400503786,0.0,0.17132650457478693
sydney,2014Q3,155.4,13964.0,5.80089743333333,3613.10430683333,62.9817842,0.672114736106866,,1099.2,858.0,2014-09-30,2.6420079260237816,13.34792122538293,13.982532038200969,1.2764722947490537,0.0,8.060453400503786,0.0,0.17132650457478693
sydney,2014Q4,160.7,16216.0,6.03022076666667,3622.7744346666705,63.0701835,1.19423838183463,,1099.2,858.0,2014-12-31,3.4105534105534074,11.986062717770029,16.12718418791177,8.810306649667844,0.0,8.060453400503786,0.0,0.17132650457478693
sydney,2015Q1,165.7,15931.0,6.02110096666667,3650.2733374666705,63.2849697,1.35812814328795,2.25,1098.48,941.0,2015-03-31,3.111387678904798,12.874659400544953,-1.7575234336457801,21.120656884360976,9.673659673659674,9.673659673659674,-0.06550218340611869,-0.06550218340611869
sydney,2015Q2,180.5,17308.0,5.8288849,3688.853521,63.5929401666667,2.02955303306009,2.0,1098.48,941.0,2015-06-30,8.93180446590225,19.220607661822985,8.643525202435498,41.278262998938864,0.0,9.673659673659674,0.0,-0.06550218340611869
sydney,2015Q3,186.0,18007.0,5.7208757,3732.17719136667,64.050434,3.29558391957119,,1098.48,941.0,2015-09-30,3.0470914127423754,19.691119691119695,4.03859486942455,28.95302205671728,0.0,9.673659673659674,0.0,-0.06550218340611869
sydney,2015Q4,183.1,20286.0,5.4335216,3775.64457046667,64.3566239666667,4.21969787401535,,1098.48,941.0,2015-12-31,-1.5591397849462396,13.939016801493477,12.656189259732331,25.098667982239764,0.0,9.673659673659674,0.0,-0.06550218340611869
sydney,2016Q1,181.8,15900.0,5.22121036666667,3798.04337346667,64.3209281,4.04819098020082,,1092.33,986.0,2016-03-31,-0.7099945385035444,9.716354858177434,-21.620822241940253,-0.19458916577741459,4.782146652497343,4.782146652497343,-0.5598645400917701,-0.5598645400917701
